Year,Actor,winner
1995,Nicolas Cage,1
1995,Richard Dreyfuss,0
1995,Anthony Hopkins,0
1995,Sean Penn,0
1995,Massimo Troisi,0
1996,Geoffrey Rush,1
1996,Tom Cruise,0
1996,Ralph Fiennes,0
1996,Woody Harrelson,0
1996,Billy Bob Thornton,0
1997,Jack Nicholson,1
1997,Matt Damon,0
1997,Robert Duvall,0
1997,Peter Fonda,0
1997,Dustin Hoffman,0
1998,Roberto Benigni,1
1998,Tom Hanks,0
1998,Ian McKellen,0
1998,Nick Nolte,0
1998,Edward Norton,0
1999,Kevin Spacey,1
1999,Russell Crowe,0
1999,Richard Farnsworth,0
1999,Sean Penn,0
1999,Denzel Washington,0
2000,Russell Crowe,1
2000,Javier Bardem,0
2000,Tom Hanks,0
2000,Ed Harris,0
2000,Geoffrey Rush,0
2001,Denzel Washington,1
2001,Russell Crowe,0
2001,Sean Penn,0
2001,Will Smith,0
2001,Tom Wilkinson,0
2002,Adrien Brody,1
2002,Nicolas Cage,0
2002,Michael Caine,0
2002,Daniel Day-Lewis,0
2002,Jack Nicholson,0
2003,Sean Penn,1
2003,Johnny Depp,0
2003,Ben Kingsley,0
2003,Jude Law,0
2003,Bill Murray,0
2004,Jamie Foxx,1
2004,Don Cheadle,0
2004,Johnny Depp,0
2004,Leonardo DiCaprio,0
2004,Clint Eastwood,0
2005,Philip Seymour Hoffman,1
2005,Terrence Howard,0
2005,Heath Ledger,0
2005,Joaquin Phoenix,0
2005,David Strathairn,0
2006,Forest Whitaker,1
2006,Leonardo DiCaprio,0
2006,Ryan Gosling,0
2006,Peter O'Toole,0
2006,Will Smith,0
2007,Daniel Day-Lewis,1
2007,George Clooney,0
2007,Johnny Depp,0
2007,Tommy Lee Jones,0
2007,Viggo Mortensen,0
2008,Sean Penn,1
2008,Richard Jenkins,0
2008,Frank Langella,0
2008,Brad Pitt,0
2008,Mickey Rourke,0
2009,Jeff Bridges,1
2009,George Clooney,0
2009,Colin Firth,0
2009,Morgan Freeman,0
2009,Jeremy Renner,0
2010,Colin Firth,1
2010,Javier Bardem,0
2010,Jeff Bridges,0
2010,Jesse Eisenberg,0
2010,James Franco,0
2011,Jean Dujardin,1
2011,Demián Bichir,0
2011,George Clooney,0
2011,Gary Oldman,0
2011,Brad Pitt,0
2012,Daniel Day-Lewis,1
2012,Bradley Cooper,0
2012,Hugh Jackman,0
2012,Joaquin Phoenix,0
2012,Denzel Washington,0
2013,Matthew McConaughey,1
2013,Christian Bale,0
2013,Bruce Dern,0
2013,Leonardo DiCaprio,0
2013,Chiwetel Ejiofor,0
2014,Eddie Redmayne,1
2014,Steve Carell,0
2014,Bradley Cooper,0
2014,Benedict Cumberbatch,0
2014,Michael Keaton,0
2015,Leonardo DiCaprio,1
2015,Bryan Cranston,0
2015,Matt Damon,0
2015,Michael Fassbender,0
2015,Eddie Redmayne,0
2016,Casey Affleck,1
2016,Andrew Garfield,0
2016,Ryan Gosling,0
2016,Viggo Mortensen,0
2016,Denzel Washington,0
2017,Gary Oldman,1
2017,Timothée Chalamet,0
2017,Daniel Day-Lewis,0
2017,Daniel Kaluuya,0
2017,Denzel Washington,0
2018,Rami Malek,1
2018,Christian Bale,0
2018,Bradley Cooper,0
2018,Willem Dafoe,0
2018,Viggo Mortensen,0
1936,Gale Sondergaard,1
1936,Beulah Bondi,0
1936,Alice Brady,0
1936,Bonita Granville,0
1936,Maria Ouspenskaya,0
1937,Alice Brady,1
1937,Andrea Leeds,0
1937,Anne Shirley,0
1937,Claire Trevor,0
1937,May Whitty,0
1938,Fay Bainter,1
1938,Beulah Bondi,0
1938,Billie Burke,0
1938,Spring Byington,0
1938,Miliza Korjus,0
1939,Hattie McDaniel,1
1939,Olivia de Havilland,0
1939,Geraldine Fitzgerald,0
1939,Edna May Oliver,0
1939,Maria Ouspenskaya,0
1940,Jane Darwell,1
1940,Judith Anderson,0
1940,Ruth Hussey,0
1940,Barbara O'Neil,0
1940,Marjorie Rambeau,0
1941,Mary Astor,1
1941,Sara Allgood,0
1941,Patricia Collinge,0
1941,Teresa Wright,0
1941,Margaret Wycherly,0
1942,Teresa Wright,1
1942,Gladys Cooper,0
1942,Agnes Moorehead,0
1942,Susan Peters,0
1942,May Whitty,0
1943,Katina Paxinou,1
1943,Gladys Cooper,0
1943,Paulette Goddard,0
1943,Anne Revere,0
1943,Lucile Watson,0
1944,Ethel Barrymore,1
1944,Jennifer Jones,0
1944,Angela Lansbury,0
1944,Aline MacMahon,0
1944,Agnes Moorehead,0
1945,Anne Revere,1
1945,Eve Arden,0
1945,Ann Blyth,0
1945,Angela Lansbury,0
1945,Joan Lorring,0
1946,Anne Baxter,1
1946,Ethel Barrymore,0
1946,Lillian Gish,0
1946,Flora Robson,0
1946,Gale Sondergaard,0
1947,Celeste Holm,1
1947,Ethel Barrymore,0
1947,Gloria Grahame,0
1947,Marjorie Main,0
1947,Anne Revere,0
1948,Claire Trevor,1
1948,Barbara Bel Geddes,0
1948,Ellen Corby,0
1948,Agnes Moorehead,0
1948,Jean Simmons,0
1949,Mercedes McCambridge,1
1949,Ethel Barrymore,0
1949,Celeste Holm,0
1949,Elsa Lanchester,0
1949,Ethel Waters,0
1950,Josephine Hull,1
1950,Hope Emerson,0
1950,Celeste Holm,0
1950,Nancy Olson,0
1950,Thelma Ritter,0
1951,Kim Hunter,1
1951,Joan Blondell,0
1951,Mildred Dunnock,0
1951,Lee Grant,0
1951,Thelma Ritter,0
1952,Gloria Grahame,1
1952,Jean Hagen,0
1952,Colette Marchand,0
1952,Terry Moore,0
1952,Thelma Ritter,0
1953,Donna Reed,1
1953,Grace Kelly,0
1953,Geraldine Page,0
1953,Marjorie Rambeau,0
1953,Thelma Ritter,0
1954,Eva Marie Saint,1
1954,Nina Foch,0
1954,Katy Jurado,0
1954,Jan Sterling,0
1954,Claire Trevor,0
1955,Jo Van Fleet,1
1955,Betsy Blair,0
1955,Peggy Lee,0
1955,Marisa Pavan,0
1955,Natalie Wood,0
1956,Dorothy Malone,1
1956,Mildred Dunnock,0
1956,Eileen Heckart,0
1956,Mercedes McCambridge,0
1956,Patty McCormack,0
1957,Miyoshi Umeki,1
1957,Carolyn Jones,0
1957,Elsa Lanchester,0
1957,Hope Lange,0
1957,Diane Varsi,0
1958,Wendy Hiller,1
1958,Peggy Cass,0
1958,Martha Hyer,0
1958,Maureen Stapleton,0
1958,Cara Williams,0
1959,Shelley Winters,1
1959,Hermione Baddeley,0
1959,Susan Kohner,0
1959,Juanita Moore,0
1959,Thelma Ritter,0
1960,Shirley Jones,1
1960,Glynis Johns,0
1960,Shirley Knight,0
1960,Janet Leigh,0
1960,Mary Ure,0
1961,Rita Moreno,1
1961,Fay Bainter,0
1961,Judy Garland,0
1961,Lotte Lenya,0
1961,Una Merkel,0
1962,Patty Duke,1
1962,Mary Badham,0
1962,Shirley Knight,0
1962,Angela Lansbury,0
1962,Thelma Ritter,0
1963,Margaret Rutherford,1
1963,Diane Cilento,0
1963,Edith Evans,0
1963,Joyce Redman,0
1963,Lilia Skala,0
1964,Lila Kedrova,1
1964,Gladys Cooper,0
1964,Edith Evans,0
1964,Grayson Hall,0
1964,Agnes Moorehead,0
1965,Shelley Winters,1
1965,Ruth Gordon,0
1965,Joyce Redman,0
1965,Maggie Smith,0
1965,Peggy Wood,0
1966,Sandy Dennis,1
1966,Wendy Hiller,0
1966,Jocelyne LaGarde,0
1966,Vivien Merchant,0
1966,Geraldine Page,0
1967,Estelle Parsons,1
1967,Carol Channing,0
1967,Mildred Natwick,0
1967,Beah Richards,0
1967,Katharine Ross,0
1968,Ruth Gordon,1
1968,Lynn Carlin,0
1968,Sondra Locke,0
1968,Kay Medford,0
1968,Estelle Parsons,0
1969,Goldie Hawn,1
1969,Catherine Burns,0
1969,Dyan Cannon,0
1969,Sylvia Miles,0
1969,Susannah York,0
1970,Helen Hayes,1
1970,Karen Black,0
1970,Lee Grant,0
1970,Sally Kellerman,0
1970,Maureen Stapleton,0
1971,Cloris Leachman,1
1971,Ann-Margret,0
1971,Ellen Burstyn,0
1971,Barbara Harris,0
1971,Margaret Leighton,0
1972,Eileen Heckart,1
1972,Jeannie Berlin,0
1972,Geraldine Page,0
1972,Susan Tyrrell,0
1972,Shelley Winters,0
1973,Tatum O'Neal,1
1973,Linda Blair,0
1973,Candy Clark,0
1973,Madeline Kahn,0
1973,Sylvia Sidney,0
1974,Ingrid Bergman,1
1974,Valentina Cortese,0
1974,Madeline Kahn,0
1974,Diane Ladd,0
1974,Talia Shire,0
1975,Lee Grant,1
1975,Ronee Blakley,0
1975,Sylvia Miles,0
1975,Lily Tomlin,0
1975,Brenda Vaccaro,0
1976,Beatrice Straight,1
1976,Jane Alexander,0
1976,Jodie Foster,0
1976,Lee Grant,0
1976,Piper Laurie,0
1977,Vanessa Redgrave,1
1977,Leslie Browne,0
1977,Quinn Cummings,0
1977,Melinda Dillon,0
1977,Tuesday Weld,0
1978,Maggie Smith,1
1978,Dyan Cannon,0
1978,Penelope Milford,0
1978,Maureen Stapleton,0
1978,Meryl Streep,0
1979,Meryl Streep,1
1979,Jane Alexander,0
1979,Barbara Barrie,0
1979,Candice Bergen,0
1979,Mariel Hemingway,0
1980,Mary Steenburgen,1
1980,Eileen Brennan,0
1980,Eva Le Gallienne,0
1980,Cathy Moriarty,0
1980,Diana Scarwid,0
1981,Maureen Stapleton,1
1981,Melinda Dillon,0
1981,Jane Fonda,0
1981,Joan Hackett,0
1981,Elizabeth McGovern,0
1982,Jessica Lange,1
1982,Glenn Close,0
1982,Teri Garr,0
1982,Kim Stanley,0
1982,Lesley Ann Warren,0
1983,Linda Hunt,1
1983,Cher,0
1983,Glenn Close,0
